INFO:src.pipeline:2022-10-21_22-53-25 loading train dataset
INFO:src.pipeline:2022-10-21_22-53-27 train dataset loaded successfully
INFO:src.preprocess:2022-10-21_22-53-39 no duplicate rows found
INFO:src.preprocess:2022-10-21_22-53-42 9 column(s) have standard deviation value less than 0.02. Hence, dropping the columns: REGION_POPULATION_RELATIVE, FLAG_MOBIL, FLAG_DOCUMENT_2, FLAG_DOCUMENT_4, FLAG_DOCUMENT_7, FLAG_DOCUMENT_10, FLAG_DOCUMENT_12, FLAG_DOCUMENT_17, FLAG_DOCUMENT_21
INFO:src.preprocess:2022-10-21_22-53-42 successfully dropped columns with low standard deviation value
INFO:src.preprocess:2022-10-21_22-53-46 dropping 16 unnecessary columns: SK_ID_CURR, FLAG_EMP_PHONE, FLAG_WORK_PHONE, WEEKDAY_APPR_PROCESS_START, HOUR_APPR_PROCESS_START, REG_REGION_NOT_LIVE_REGION, REG_REGION_NOT_WORK_REGION, LIVE_REGION_NOT_WORK_REGION, REG_CITY_NOT_LIVE_CITY, REG_CITY_NOT_WORK_CITY, LIVE_CITY_NOT_WORK_CITY, DAYS_LAST_PHONE_CHANGE, OBS_30_CNT_SOCIAL_CIRCLE, DEF_30_CNT_SOCIAL_CIRCLE, OBS_60_CNT_SOCIAL_CIRCLE, DEF_60_CNT_SOCIAL_CIRCLE
INFO:src.preprocess:2022-10-21_22-54-59 successfully dropped unnecessary columns
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column CNT_CHILDREN
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column AMT_INCOME_TOTAL
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column AMT_CREDIT
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column AMT_ANNUITY
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column AMT_GOODS_PRICE
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column DAYS_BIRTH
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column DAYS_EMPLOYED
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column DAYS_REGISTRATION
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column DAYS_ID_PUBLISH
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column OWN_CAR_AGE
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column FLAG_CONT_MOBILE
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column FLAG_PHONE
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column FLAG_EMAIL
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column CNT_FAM_MEMBERS
INFO:src.preprocess:2022-10-21_22-55-29 handling outlier for column REGION_RATING_CLIENT
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column REGION_RATING_CLIENT_W_CITY
